house_id,square_feet,bedrooms,bathrooms,year_built,garage_cars,neighborhood,condition,price
HOUSE_129,1555,2,3.0,1951,1,Waterfront,Good,399391.3
HOUSE_130,2924,2,3.5,2003,1,Downtown,Good,515675.5
HOUSE_131,1784,1,3.0,2014,0,Suburbs,Fair,319241.93
HOUSE_132,1059,4,3.5,2000,1,Highlands,Good,360771.91
HOUSE_133,3985,2,3.5,2002,2,Downtown,Fair,645619.29
HOUSE_134,621,3,4.0,1985,1,Suburbs,Excellent,251627.3
HOUSE_135,2900,4,2.5,1975,2,Highlands,Good,559853.81
HOUSE_136,1347,5,3.5,1978,1,Suburbs,Fair,296858.85
HOUSE_137,3504,1,2.0,1970,1,Downtown,Fair,496334.37
HOUSE_138,4232,5,3.5,1960,2,Suburbs,Good,705824.33
HOUSE_139,1074,4,3.5,1989,2,Highlands,Good,334360.15
HOUSE_140,1682,4,3.5,1960,1,Suburbs,Good,366497.81
HOUSE_141,3158,4,4.0,1985,1,Downtown,Fair,574524.78
HOUSE_142,4353,5,4.0,2008,0,Highlands,Good,713614.83
HOUSE_143,2647,4,1.0,1988,2,Downtown,Good,484100.88
HOUSE_144,4147,5,4.0,2003,2,Highlands,Good,793892.74
HOUSE_145,3347,4,2.0,2004,1,Downtown,Good,567310.86
HOUSE_146,1575,3,2.0,1973,2,Waterfront,Good,420789.89
HOUSE_147,2406,4,4.0,1971,2,Suburbs,Good,481071.52
HOUSE_148,789,5,3.0,2018,2,Suburbs,Excellent,370664.76
HOUSE_149,3605,2,2.5,2005,2,Downtown,Good,611311.53
HOUSE_150,3334,4,4.0,1982,1,Suburbs,Good,556742.25
HOUSE_151,3605,2,3.5,1985,1,Highlands,Fair,636159.25
HOUSE_152,1162,3,1.5,1969,1,Waterfront,Good,399112.49
HOUSE_153,2499,1,2.5,2011,0,Suburbs,Fair,423151.45
HOUSE_154,4238,3,2.5,2022,2,Suburbs,Good,699292.95
HOUSE_155,1867,4,2.0,1975,3,Highlands,Excellent,461833.36
HOUSE_156,3479,2,2.5,2015,0,Highlands,Good,573718.89
HOUSE_157,2128,2,4.0,2022,1,Suburbs,Fair,427022.85
HOUSE_158,3802,5,3.5,2022,1,Suburbs,Fair,664299.96
HOUSE_159,4156,2,3.5,1989,3,Suburbs,Good,710959.96
HOUSE_160,4490,5,1.0,1966,1,Suburbs,Fair,677861.25
HOUSE_161,1246,1,3.5,1950,2,Downtown,Fair,234942.99
HOUSE_162,2668,4,3.5,2010,0,Suburbs,Good,516458.69
HOUSE_163,3488,5,2.0,1992,1,Suburbs,Good,564208.48
HOUSE_164,2814,1,3.5,1991,3,Highlands,Good,536880.72
HOUSE_165,1897,2,1.0,1974,3,Downtown,Excellent,429095.01
HOUSE_166,3035,2,1.5,1988,0,Suburbs,Fair,497491.69
HOUSE_167,1200,1,4.0,1984,3,Suburbs,Excellent,420947.96
HOUSE_168,2963,2,2.0,1952,2,Suburbs,Good,482328.08
HOUSE_169,2661,1,1.5,1993,2,Downtown,Excellent,498140.08
HOUSE_170,841,5,2.0,2000,1,Suburbs,Good,291282.64
HOUSE_171,2641,5,3.0,1961,2,Suburbs,Excellent,549911.39
HOUSE_172,3424,1,2.5,1968,1,Suburbs,Excellent,535263.31
HOUSE_173,4017,5,3.0,1993,2,Suburbs,Good,728320.28
HOUSE_174,3212,5,3.5,2008,1,Suburbs,Excellent,627591.77
HOUSE_175,3545,5,1.5,1998,0,Highlands,Good,634243.58
HOUSE_176,1963,3,3.5,2010,1,Downtown,Good,450208.11
HOUSE_177,2739,4,2.5,1966,2,Highlands,Good,543019.67
HOUSE_178,1990,2,2.0,2023,1,Suburbs,Good,410173.51
HOUSE_179,3603,3,2.5,2006,2,Downtown,Fair,602728.67
HOUSE_180,2078,5,1.0,2004,3,Downtown,Good,464602.46
HOUSE_181,4099,1,2.5,1996,0,Suburbs,Good,566176.14
HOUSE_182,3156,5,1.0,1961,2,Highlands,Good,586507.53
HOUSE_183,1375,4,2.5,2011,1,Highlands,Excellent,441273.41
HOUSE_184,634,5,4.0,1957,2,Highlands,Good,317124.32
HOUSE_185,2853,1,1.0,1970,1,Suburbs,Good,465222.31
HOUSE_186,3752,4,1.5,2019,2,Suburbs,Good,639300.1
HOUSE_187,2555,5,3.5,2021,2,Downtown,Fair,563118.54
HOUSE_188,2185,4,3.5,1974,3,Suburbs,Fair,415107.48
HOUSE_189,4059,2,3.0,1961,2,Suburbs,Good,608202.51
HOUSE_190,3673,2,3.5,1964,1,Downtown,Good,604348.44
HOUSE_191,1621,5,2.0,2008,2,Downtown,Excellent,477147.55
HOUSE_192,4061,4,4.0,1975,2,Suburbs,Good,663970.83
HOUSE_193,3213,1,2.5,1975,2,Highlands,Good,549770.02
HOUSE_194,1729,5,3.0,1996,0,Waterfront,Good,437333.16
HOUSE_195,4443,2,2.0,1981,3,Waterfront,Fair,762034.27
HOUSE_196,4493,2,2.0,1959,2,Suburbs,Good,678619.58
HOUSE_197,2100,5,1.0,1965,2,Suburbs,Good,421380.13
HOUSE_198,1302,4,3.5,2020,1,Suburbs,Good,364756.64
HOUSE_199,3049,2,1.5,1966,2,Highlands,Good,528924.34
HOUSE_200,3377,4,1.5,1972,1,Downtown,Excellent,599016.58
HOUSE_201,2179,2,3.0,1975,2,Suburbs,Excellent,421971.97
HOUSE_202,761,2,4.0,1956,1,Highlands,Good,274590.71
HOUSE_203,801,3,1.5,1963,2,Suburbs,Good,236044.32
HOUSE_204,2581,2,2.5,1956,3,Suburbs,Good,460820.47
HOUSE_205,1595,1,1.5,1958,0,Suburbs,Good,237649.13
HOUSE_206,2917,5,3.0,1997,3,Downtown,Good,543806.43
HOUSE_207,1415,5,1.5,2021,1,Suburbs,Fair,370028.82
HOUSE_208,3942,4,2.5,2008,2,Suburbs,Good,653469.06
HOUSE_209,1055,2,1.0,1988,2,Downtown,Good,258430.61
HOUSE_210,4133,1,4.0,1967,2,Downtown,Good,670896.97
HOUSE_211,4398,4,3.0,2008,2,Highlands,Excellent,796359.68
HOUSE_212,1875,3,1.0,1966,2,Downtown,Excellent,437298.41
HOUSE_213,1616,4,1.0,1963,1,Suburbs,Good,329745.15
HOUSE_214,4373,4,1.0,1980,1,Downtown,Good,700849.23
HOUSE_215,2943,2,2.0,1973,2,Waterfront,Excellent,582411.11
HOUSE_216,4396,3,4.0,2009,2,Downtown,Fair,764018.6
HOUSE_217,3367,4,3.5,1994,2,Suburbs,Good,603771.26
HOUSE_218,4420,1,4.0,1952,2,Highlands,Fair,671768.07
HOUSE_219,937,1,2.0,1986,1,Highlands,Good,266824.71
HOUSE_220,1478,5,3.5,1992,2,Downtown,Good,364554.12
HOUSE_221,1676,3,4.0,1989,1,Highlands,Excellent,453536.32
HOUSE_222,1391,3,1.0,2004,2,Suburbs,Excellent,332385.71
HOUSE_223,2864,5,3.0,1988,0,Suburbs,Fair,456263.24
HOUSE_224,1363,4,3.5,1964,1,Downtown,Good,301701.02
HOUSE_225,2835,3,2.5,1953,1,Downtown,Excellent,543417.21
HOUSE_226,979,1,2.5,1974,1,Highlands,Good,248948.42
HOUSE_227,1092,1,1.5,1962,2,Suburbs,Excellent,302983.19
HOUSE_228,3712,2,3.5,1982,1,Suburbs,Good,567644.96
HOUSE_229,1780,3,3.0,1965,1,Highlands,Good,346916.05
HOUSE_230,2662,4,2.0,1991,1,Highlands,Good,491326.89
HOUSE_231,4484,5,1.0,2015,1,Downtown,Good,770975.29
HOUSE_232,664,5,1.5,2004,1,Suburbs,Good,249982.55
HOUSE_233,3168,4,2.5,1991,0,Downtown,Good,534252.82
HOUSE_234,1967,2,2.0,1983,2,Highlands,Good,421440.46
HOUSE_235,1752,5,2.0,1979,2,Suburbs,Good,400984.57
HOUSE_236,2627,3,1.0,1962,2,Waterfront,Good,565774.97
HOUSE_237,3295,2,3.5,1962,1,Downtown,Excellent,611212.48
HOUSE_238,2095,3,2.5,1967,1,Downtown,Excellent,429005.78
HOUSE_239,3734,1,3.0,1981,2,Downtown,Good,571728.81
HOUSE_240,1762,2,2.0,1988,2,Downtown,Excellent,401503.37
HOUSE_241,2122,5,1.0,1995,1,Downtown,Good,447147.01
HOUSE_242,3240,2,3.0,1978,0,Waterfront,Good,573106.03
HOUSE_243,991,2,3.5,2011,1,Downtown,Excellent,313791.23
HOUSE_244,2298,2,2.5,2011,1,Downtown,Good,456154.7
HOUSE_245,1018,2,3.5,2006,1,Highlands,Fair,305743.69
HOUSE_246,2936,3,2.0,1965,2,Suburbs,Excellent,525139.92
HOUSE_247,978,1,3.0,2005,2,Highlands,Good,294397.62
HOUSE_248,2396,4,3.0,1959,2,Downtown,Excellent,500959.98
HOUSE_249,4161,2,3.0,1979,2,Suburbs,Excellent,656414.17
HOUSE_250,2878,5,2.0,1974,2,Downtown,Fair,551814.96
HOUSE_251,3665,2,2.0,1954,2,Downtown,Excellent,638881.23
HOUSE_252,2688,5,3.5,2014,3,Waterfront,Good,618605.3
HOUSE_253,3699,3,1.5,1998,0,Downtown,Good,567042.23
HOUSE_254,2782,5,3.5,1952,1,Suburbs,Good,453026.77
HOUSE_255,800,4,2.5,1994,0,Suburbs,Excellent,259949.4
HOUSE_256,2463,1,1.0,1963,2,Suburbs,Fair,371874.05
HOUSE_257,1379,5,3.0,1979,2,Highlands,Good,364438.87
HOUSE_258,3577,5,1.5,2017,1,Downtown,Good,615793.5
HOUSE_259,3704,1,1.0,1967,3,Suburbs,Good,533981.07
HOUSE_260,3719,4,1.5,2011,0,Waterfront,Good,698261.68
HOUSE_261,1102,2,4.0,1986,3,Suburbs,Fair,299773.61
HOUSE_262,3054,5,3.5,1974,1,Waterfront,Good,622636.56
HOUSE_263,4245,1,2.0,1997,1,Downtown,Good,653420.52
HOUSE_264,2351,3,3.0,2014,1,Suburbs,Excellent,473653.0
HOUSE_265,1404,1,3.5,2002,1,Downtown,Good,323288.62
HOUSE_266,2746,3,1.0,2022,1,Highlands,Good,568956.3
HOUSE_267,3331,4,4.0,1964,1,Waterfront,Excellent,725431.53
HOUSE_268,2495,2,4.0,1998,2,Downtown,Fair,449310.47
HOUSE_269,3373,1,4.0,2017,2,Suburbs,Excellent,633103.31
HOUSE_270,2170,5,1.0,1961,1,Downtown,Good,439484.91
HOUSE_271,1560,4,1.0,2008,2,Suburbs,Excellent,367893.42
HOUSE_272,4410,1,1.0,1986,2,Suburbs,Good,661469.44
HOUSE_273,3260,5,1.0,2010,1,Waterfront,Fair,687648.3
HOUSE_274,2085,1,4.0,1992,1,Suburbs,Good,356736.38
HOUSE_275,3290,3,4.0,2019,1,Suburbs,Excellent,593062.43
HOUSE_276,4440,1,1.5,1988,1,Downtown,Good,684641.54
HOUSE_277,1628,1,3.5,2005,2,Downtown,Fair,369147.38
HOUSE_278,3889,1,3.0,2012,1,Downtown,Good,644066.91
HOUSE_279,1102,4,2.0,1995,2,Downtown,Good,341754.73
HOUSE_280,3414,1,4.0,1960,2,Highlands,Good,591447.4
HOUSE_281,997,5,2.0,2011,1,Suburbs,Good,272278.2
HOUSE_282,1470,3,3.5,1974,2,Suburbs,Excellent,399782.94
HOUSE_283,3442,3,3.5,2020,1,Downtown,Good,648279.75
HOUSE_284,992,1,2.0,2001,3,Highlands,Fair,297105.23
HOUSE_285,806,4,4.0,1953,1,Highlands,Good,289033.08
HOUSE_286,1638,4,2.0,2008,2,Downtown,Fair,354682.31
HOUSE_287,2481,5,1.5,2021,2,Highlands,Good,561376.37
HOUSE_288,4225,1,2.5,1969,0,Suburbs,Good,601501.44
HOUSE_289,3539,3,4.0,2012,2,Downtown,Fair,631725.22
HOUSE_290,2084,4,4.0,2003,3,Suburbs,Good,502588.83
HOUSE_291,4362,1,3.0,2023,2,Suburbs,Fair,665488.07
HOUSE_292,4246,4,1.0,2006,2,Downtown,Excellent,756435.15
HOUSE_293,1463,4,2.5,1990,2,Waterfront,Excellent,463068.39
HOUSE_294,3390,3,3.5,1952,1,Highlands,Fair,562811.2
HOUSE_295,3912,2,4.0,1955,1,Suburbs,Excellent,620081.14
HOUSE_296,1163,5,2.0,1954,2,Suburbs,Good,303392.7
HOUSE_297,1620,5,2.5,1954,1,Suburbs,Good,331361.83
HOUSE_298,695,3,3.0,2003,2,Suburbs,Fair,244513.19
HOUSE_299,2523,4,3.5,1996,3,Suburbs,Good,536211.18
HOUSE_300,2357,1,1.0,1998,1,Downtown,Good,400320.89
HOUSE_301,3132,4,1.0,1958,1,Suburbs,Good,452075.57
HOUSE_302,4078,3,3.0,1969,2,Highlands,Fair,715299.6
HOUSE_303,2878,5,3.0,2010,1,Suburbs,Fair,561896.35
HOUSE_304,3396,4,2.0,1984,2,Downtown,Good,567413.43
HOUSE_305,2278,5,4.0,1999,1,Highlands,Good,535802.7
HOUSE_306,3842,1,1.0,2011,2,Downtown,Good,605265.63
HOUSE_307,1140,5,3.5,1966,0,Downtown,Good,318187.18
HOUSE_308,1659,5,2.5,1952,2,Downtown,Excellent,429035.6
HOUSE_309,3172,2,3.5,1981,1,Suburbs,Excellent,544579.8
HOUSE_310,1783,2,1.5,1962,2,Highlands,Good,352965.86
HOUSE_311,2322,2,1.5,2022,1,Suburbs,Excellent,439976.47
HOUSE_312,3914,5,3.0,2017,2,Downtown,Good,692375.2
HOUSE_313,3757,3,2.0,1963,2,Highlands,Good,610444.44
HOUSE_314,2419,5,1.5,1960,1,Highlands,Good,472600.54
HOUSE_315,3225,3,1.0,2005,0,Highlands,Good,535106.0
HOUSE_316,3329,3,3.5,2016,0,Downtown,Excellent,636331.3
HOUSE_317,3204,2,3.5,1978,2,Suburbs,Good,572061.15
HOUSE_318,2197,4,3.0,1958,2,Waterfront,Good,507538.67
HOUSE_319,3660,1,4.0,2016,2,Highlands,Good,661985.11
HOUSE_320,3293,2,4.0,1974,1,Downtown,Fair,552852.13
HOUSE_321,1395,2,2.5,1991,1,Downtown,Excellent,370000.06
HOUSE_322,1651,4,3.0,1958,2,Suburbs,Good,358418.88
HOUSE_323,2243,1,2.5,1989,1,Waterfront,Good,501927.06
HOUSE_324,4227,5,4.0,1974,3,Suburbs,Good,735496.22
HOUSE_325,1963,5,3.0,1954,1,Suburbs,Good,356818.44
HOUSE_326,4469,2,3.0,1960,2,Downtown,Fair,698008.9
HOUSE_327,2581,1,3.0,2008,1,Suburbs,Good,467302.27
HOUSE_328,1954,2,4.0,1987,1,Highlands,Good,405997.85
HOUSE_329,2263,3,2.5,2021,2,Suburbs,Good,460308.45
HOUSE_330,2129,2,2.5,1954,2,Highlands,Excellent,471763.22
HOUSE_331,2638,2,3.0,1997,3,Waterfront,Excellent,623927.15
HOUSE_332,4019,5,1.5,1967,1,Downtown,Good,678704.45
HOUSE_333,2096,5,2.0,2019,1,Suburbs,Good,502816.81
HOUSE_334,3902,5,4.0,1986,2,Downtown,Fair,666390.35
HOUSE_335,2837,3,2.0,2009,2,Highlands,Good,523113.88
HOUSE_336,3896,5,2.0,1997,1,Suburbs,Good,649715.46
HOUSE_337,2008,1,2.5,1977,0,Suburbs,Good,345599.06
HOUSE_338,2000,4,2.5,2018,0,Highlands,Good,443628.34
HOUSE_339,1906,1,1.5,1989,2,Suburbs,Fair,370251.52
HOUSE_340,3280,1,2.0,1994,1,Waterfront,Good,572334.86
HOUSE_341,3275,5,2.0,2011,1,Suburbs,Fair,581122.97
HOUSE_342,1572,4,3.0,2007,1,Downtown,Good,378093.48
HOUSE_343,2368,4,2.5,2016,1,Suburbs,Good,507944.45
HOUSE_344,1882,4,2.0,2005,0,Highlands,Fair,453652.88
HOUSE_345,4030,3,3.5,1989,2,Suburbs,Good,638633.59
HOUSE_346,1309,5,1.5,1989,0,Highlands,Fair,317541.07
HOUSE_347,2079,4,3.5,1982,2,Waterfront,Good,554569.7
HOUSE_348,2034,3,3.5,1955,1,Downtown,Good,388401.73
HOUSE_349,1248,2,4.0,1968,2,Waterfront,Fair,382024.72
HOUSE_350,917,2,4.0,1989,2,Downtown,Excellent,335874.71
HOUSE_351,4348,3,1.5,2008,2,Downtown,Fair,649168.17
HOUSE_352,3896,3,3.5,2008,2,Downtown,Good,681574.06
HOUSE_353,4490,5,2.0,1997,1,Highlands,Good,741156.81
HOUSE_354,1857,5,2.5,1990,1,Suburbs,Good,385511.93
HOUSE_355,1283,2,1.5,1962,2,Downtown,Fair,313650.8
HOUSE_356,1263,4,3.0,1994,3,Suburbs,Good,325347.33
HOUSE_357,2598,2,3.5,2002,2,Suburbs,Good,501690.13
HOUSE_358,4498,4,1.5,1991,2,Downtown,Excellent,759585.93
HOUSE_359,4045,4,1.0,2012,2,Highlands,Good,701006.0
HOUSE_360,4343,5,1.0,1976,1,Highlands,Good,731719.3
HOUSE_361,2231,1,4.0,1987,0,Suburbs,Excellent,423821.28
HOUSE_362,2095,1,2.5,2009,2,Waterfront,Good,513865.32
HOUSE_363,3904,3,2.0,1956,3,Suburbs,Excellent,675484.62
HOUSE_364,4363,5,2.5,1954,1,Waterfront,Good,761477.29
HOUSE_365,1736,4,2.5,1994,2,Suburbs,Excellent,409214.08
HOUSE_366,2453,1,2.5,2007,1,Suburbs,Fair,380831.24
HOUSE_367,2120,4,2.5,1980,2,Downtown,Good,428764.74
HOUSE_368,3089,1,3.0,1972,0,Highlands,Good,578007.36
HOUSE_369,1163,1,3.0,1991,1,Suburbs,Good,292476.99
HOUSE_370,1891,1,4.0,1959,2,Downtown,Good,344343.14
HOUSE_371,4181,5,1.5,1981,1,Downtown,Good,649458.55
HOUSE_372,4478,2,1.0,2002,2,Suburbs,Fair,674006.65
HOUSE_373,4057,4,2.5,1979,2,Suburbs,Fair,654721.62
HOUSE_374,4058,5,4.0,1988,3,Highlands,Good,773082.1
HOUSE_375,3784,5,1.5,1980,1,Highlands,Good,647706.11
HOUSE_376,2236,5,1.0,1951,1,Downtown,Excellent,450983.64
HOUSE_377,4296,5,3.5,1961,1,Highlands,Good,732516.99
HOUSE_378,3599,5,2.0,1988,3,Downtown,Excellent,697427.33
HOUSE_379,3752,3,3.0,2015,3,Highlands,Good,646757.49
HOUSE_380,1298,4,3.5,1962,2,Highlands,Good,362615.01
HOUSE_381,2760,5,1.0,1995,2,Suburbs,Fair,473914.84
HOUSE_382,601,4,3.5,1976,2,Highlands,Good,300300.29
HOUSE_383,1241,3,2.0,1966,2,Suburbs,Good,361351.48
HOUSE_384,2867,3,4.0,2009,0,Suburbs,Fair,498427.04
HOUSE_385,2189,4,1.0,2013,2,Highlands,Good,478241.76
HOUSE_386,1454,1,3.5,1984,1,Suburbs,Excellent,354725.04
HOUSE_387,2359,2,3.0,2019,2,Suburbs,Good,472347.2
HOUSE_388,3896,1,3.0,1979,2,Suburbs,Good,608222.36
HOUSE_389,3032,1,1.5,2020,2,Highlands,Good,569011.26
HOUSE_390,4074,1,3.5,2023,0,Suburbs,Good,675693.59
HOUSE_391,2261,5,2.5,2012,1,Downtown,Good,460647.79
HOUSE_392,1753,3,3.5,1977,1,Highlands,Good,413800.8
HOUSE_393,1676,1,4.0,2009,1,Highlands,Fair,356160.47
HOUSE_394,2307,3,1.0,1986,0,Downtown,Good,421527.82
HOUSE_395,3377,4,1.0,1971,3,Downtown,Good,570072.84
HOUSE_396,2295,2,4.0,2017,2,Downtown,Excellent,512565.83
HOUSE_397,2333,4,3.5,1969,1,Suburbs,Excellent,462782.75
HOUSE_398,2039,4,4.0,2017,1,Suburbs,Good,468675.42
HOUSE_399,2894,5,2.0,2013,1,Highlands,Good,602641.36
HOUSE_400,1435,2,4.0,1966,2,Suburbs,Good,287857.07
HOUSE_401,4110,4,3.0,1961,2,Suburbs,Excellent,690373.35
HOUSE_402,802,4,4.0,1971,3,Suburbs,Good,277300.5
HOUSE_403,3855,2,1.0,1966,1,Highlands,Good,568937.38
HOUSE_404,722,2,3.0,1959,3,Suburbs,Good,228414.57
HOUSE_405,1000,4,1.0,2014,2,Waterfront,Good,391487.93
HOUSE_406,1366,2,1.5,1971,1,Suburbs,Fair,312387.91
HOUSE_407,893,4,2.5,1999,3,Downtown,Good,346184.0
HOUSE_408,2927,4,1.0,1963,1,Suburbs,Good,437199.56
HOUSE_409,3531,5,3.0,2013,2,Suburbs,Good,627000.65
HOUSE_410,4281,1,1.5,1996,1,Suburbs,Good,647054.58
HOUSE_411,797,4,1.0,1978,2,Downtown,Good,323251.07
HOUSE_412,3629,3,2.0,1985,2,Downtown,Good,573830.42
HOUSE_413,2530,1,4.0,2001,2,Highlands,Fair,446401.89
HOUSE_414,4182,1,2.5,1956,2,Downtown,Excellent,714414.13
HOUSE_415,3399,1,1.0,1978,1,Highlands,Good,550020.35
HOUSE_416,2791,5,1.5,1960,0,Downtown,Good,459212.68
HOUSE_417,1208,4,2.0,1982,1,Suburbs,Fair,290925.73
HOUSE_418,3872,5,3.5,1955,1,Suburbs,Fair,542746.31
HOUSE_419,1747,4,1.5,1981,2,Suburbs,Good,368524.39
HOUSE_420,786,5,4.0,2000,1,Suburbs,Good,303515.53
HOUSE_421,3997,5,1.5,2007,3,Downtown,Excellent,775346.75
HOUSE_422,3111,3,2.0,1975,2,Downtown,Fair,502972.6
HOUSE_423,4020,5,1.5,1995,2,Suburbs,Good,669542.18
HOUSE_424,2394,2,2.0,1978,1,Suburbs,Good,378544.38
HOUSE_425,1259,3,1.0,1953,2,Waterfront,Fair,357864.59
HOUSE_426,3411,5,2.0,1962,3,Highlands,Fair,599536.34
HOUSE_427,3602,1,2.0,1988,1,Highlands,Good,574437.48
HOUSE_428,2555,2,2.5,1964,2,Highlands,Good,453904.62
HOUSE_429,3050,2,2.0,1978,2,Suburbs,Good,514678.41
HOUSE_430,1969,2,2.0,1978,1,Downtown,Good,397141.28
HOUSE_431,2586,3,3.5,1981,2,Waterfront,Good,572254.49
HOUSE_432,2134,5,1.0,1951,1,Suburbs,Fair,367835.95
HOUSE_433,746,5,4.0,1996,1,Suburbs,Good,251105.21
HOUSE_434,3819,1,2.5,1971,1,Downtown,Excellent,610588.08
HOUSE_435,3511,1,3.5,1976,0,Suburbs,Good,517864.88
HOUSE_436,2334,2,3.0,2016,0,Suburbs,Good,484399.83
HOUSE_437,2443,1,1.0,2005,1,Highlands,Good,419360.82
HOUSE_438,1088,3,1.0,1970,3,Suburbs,Good,314164.43
HOUSE_439,3576,5,3.0,1996,2,Suburbs,Good,657841.47
HOUSE_440,2559,2,4.0,2008,3,Waterfront,Good,612495.91
HOUSE_441,2263,1,2.0,1955,1,Downtown,Excellent,456525.51
HOUSE_442,3198,3,3.5,1968,1,Suburbs,Fair,517462.64
HOUSE_443,2985,3,1.5,2006,2,Downtown,Fair,541728.98
HOUSE_444,3519,1,2.5,2018,1,Highlands,Good,603351.98
HOUSE_445,1240,5,1.5,1952,1,Waterfront,Excellent,446989.22
HOUSE_446,2402,1,3.0,1950,2,Downtown,Fair,432651.73
HOUSE_447,3120,2,1.0,2007,1,Highlands,Good,529358.07
HOUSE_448,2569,1,4.0,1987,2,Downtown,Fair,433898.82
HOUSE_449,2798,3,1.0,1964,2,Waterfront,Good,554885.48
HOUSE_450,2038,1,2.5,1983,1,Highlands,Good,378959.04
HOUSE_451,3969,5,1.0,2010,0,Highlands,Good,674691.89
HOUSE_452,2234,4,1.0,1984,2,Downtown,Good,479215.95
HOUSE_453,862,1,2.5,2013,1,Waterfront,Good,325407.46
HOUSE_454,2387,5,3.5,1974,0,Highlands,Fair,471569.42
HOUSE_455,2791,5,3.5,1973,3,Suburbs,Good,545770.57
HOUSE_456,2993,3,2.5,1961,0,Highlands,Good,529170.77
HOUSE_457,1223,5,4.0,1967,2,Downtown,Excellent,343187.77
HOUSE_458,1616,5,3.0,1964,3,Highlands,Excellent,454952.49
HOUSE_459,4243,5,1.0,1976,1,Downtown,Fair,670242.09
HOUSE_460,1480,5,4.0,2021,1,Highlands,Excellent,505401.97
HOUSE_461,2649,2,1.0,2009,1,Suburbs,Good,432782.44
HOUSE_462,3544,2,3.0,1995,1,Downtown,Good,543366.18
HOUSE_463,1927,3,3.5,1966,1,Downtown,Good,409532.79
HOUSE_464,2901,1,4.0,2002,2,Downtown,Good,517835.94
HOUSE_465,4323,5,2.0,1957,0,Suburbs,Good,613618.33
HOUSE_466,1052,1,2.0,1976,2,Suburbs,Fair,211431.37
HOUSE_467,3708,1,2.0,1995,3,Suburbs,Good,589346.87
HOUSE_468,1783,3,3.5,1999,2,Downtown,Good,406041.38
HOUSE_469,3662,5,3.5,2020,2,Downtown,Good,638300.85
HOUSE_470,2656,5,3.0,1952,1,Highlands,Good,536746.65
HOUSE_471,3904,4,1.0,2013,2,Downtown,Good,703751.88
HOUSE_472,3770,1,3.0,1993,2,Waterfront,Fair,695088.05
HOUSE_473,2282,1,3.0,2002,1,Highlands,Excellent,455997.86
HOUSE_474,3463,2,3.5,1973,1,Suburbs,Excellent,573922.71
HOUSE_475,2855,4,2.0,2009,2,Suburbs,Good,529636.97
HOUSE_476,1754,2,1.5,1952,1,Highlands,Excellent,393049.86
HOUSE_477,1003,2,1.0,1969,1,Downtown,Good,257268.51
HOUSE_478,2799,2,3.5,1995,1,Downtown,Excellent,523525.66
HOUSE_479,2701,3,2.0,1964,1,Downtown,Fair,454369.89
HOUSE_480,3791,3,4.0,1974,2,Highlands,Good,679552.01
HOUSE_481,2296,2,1.5,2020,2,Downtown,Good,496915.56
HOUSE_482,1227,4,1.5,1966,2,Suburbs,Fair,296652.66
HOUSE_483,1186,1,3.5,1958,0,Waterfront,Fair,330446.42
HOUSE_484,2248,4,2.5,1987,1,Highlands,Good,474455.67
HOUSE_485,2043,5,1.0,1997,1,Suburbs,Good,443021.48
HOUSE_486,2045,3,1.5,2009,0,Downtown,Good,410844.07
